Job Title,Job Description,category_group_name,certificate_group_name
Admin Big Data,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
Ansible Operations Engineer,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.",Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Artifactory Administrator,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Artificial Intelligence / Machine Learning Leader,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
Artificial Intelligence / Machine Learning Sr.Leader,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
Artificial intelligence Architect,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.",Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
Artificial Intelligence Researcher,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,Artificial Intelligence & Machine Learning,"Data Science, Analytics & Splunk Certifications"
Big Data Architect,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
Big Data Engineer,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
Big Data Specialist,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,"Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
Build and Release Engineer,"Manages the build process for software applications. Responsible for automating builds, managing release schedules, and ensuring software quality.","CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Build Engineer,Focuses on building software applications from source code. Responsibilities include configuring build environments and troubleshooting build issues.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Chef Operations Engineer,"Utilizes Chef for configuration management. Responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.",Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Data Analysts,"Analyzes datasets to provide actionable insights. Requires proficiency in SQL, Excel, and data visualization tools like Tableau or Power BI.","Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
Data Architect,"Designs data models and architecture for databases. Responsible for ensuring data quality, integrity, and security across systems.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
DevOps Architect,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
DevOps Engineer,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Monitoring, Logging & Observability","DevOps, CI/CD & Cloud Automation Certifications"
Gerrit Administrator,"Administers Gerrit code review tool. Responsibilities include managing user access, configuring project settings, and facilitating code reviews.","CI/CD, Version Control & Build Automation",Software Development & Specialized IT Certifications
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Jira Administrator,"Manages Jira project management tool. Responsibilities include configuring workflows, managing user permissions, and supporting teams in Agile methodologies.","Software Testing, QA & Java Development","DevOps, Automation & Collaboration Tool Certifications"
Kubernetes Operations Engineer,"Manages Kubernetes clusters for container orchestration. Responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues.","DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Machine learning Architect,"Designs machine learning systems architecture. Responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ML models.",Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
Operations Engineer,"Oversees IT operations to ensure system reliability. Responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements.",System Administration & IT Support,Software Development & Specialized IT Certifications
Principle Engineer in Artificial Intelligence,"Leads AI initiatives within an organization. Responsibilities include strategic planning, mentoring teams, and driving innovation in AI technologies.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
Principle Engineer in Big Data,Senior role responsible for big data strategy implementation. Oversees architecture design decisions and ensures compliance with best practices.,"Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
Principle Engineer in Data Analysis,Leads data analysis projects to derive insights from complex datasets. Requires strong analytical skills and experience with statistical methods.,"Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
